,post_id,title,url,comment_count,vote_count,published_date
315,33475903,ไม่อยากไปงานเลี้ยงรุ่นกับเพื่อนเลยครับเพื่อนมีรถยนต์มีฐานะมั่นคง ผมยังไม่มีอะไรเลยทั้งทีสมัยเรียนผมเรียนเก่งกว่า,https://pantip.com/topic/33475903,317,110,2015-04-06T19:10:00.000000+0642
316,33725564,ผ่านการสัมภาษณ์งาน แต่ถูกยกเลิกการรับเข้าทำงาน เพราะคำถามนี้....,https://pantip.com/topic/33725564,455,82,2015-05-31T03:26:00.000000+0642
317,33980137,อยากลาออกจากงานวันละล้านรอบ,https://pantip.com/topic/33980137,77,0,2015-07-28T07:40:00.000000+0642
318,40527537,หัวหน้าไม่สอนงาน ชอบดุเวลาถาม ควรหาทางแก้อย่างไรดีคะ,https://pantip.com/topic/40527537,63,2,2021-02-17T20:42:00.000000+0642
319,40524633,มีใครที่ทำงานแล้วไม่ได้ให้เงินพ่อแม่บ้างคะ,https://pantip.com/topic/40524633,159,2,2021-02-16T16:18:00.000000+0642
320,40367980,เคยไหม วันหยุด!!! แต่กลับต้องมานั่งตอบไลน์ ตอบงาน,https://pantip.com/topic/40367980,107,11,2020-12-06T09:43:00.000000+0642
321,40057783,กำลังจะตัดสินใจลาออกจากงานประจำที่ทำมา 4 ปี อยากขอกำลังใจและคำแนะนำค่ะ,https://pantip.com/topic/40057783,91,3,2020-07-14T11:25:00.000000+0642
322,33564593,เคยมั้ยคะ? กลัวการไปทำงานในแต่ละวัน,https://pantip.com/topic/33564593,151,54,2015-04-26T11:55:00.000000+0642
323,40494006,ใครอยู่บริษัทใหญ่ๆ แล้วเคยโดนหัวหน้างาน comment แรงๆกันบ้างคะ มาแชร์กันหน่อย,https://pantip.com/topic/40494006,51,0,2021-02-02T21:48:00.000000+0642
324,40128206,เพื่อนร่วมงานแบบไหนแสบสุดที่เคยเจอมา???,https://pantip.com/topic/40128206,97,3,2020-08-13T23:42:00.000000+0642
325,40506993,พูดโน้มน้าวสามียังไงไม่ให้ลาออกจากงาน?,https://pantip.com/topic/40506993,126,1,2021-02-08T17:22:00.000000+0642
326,40501774,ขอระบายหน่อยนะครับ เรื่องเยียวยา ม.33 ผมต้องเป็นผู้เสียสละอย่างนั้นหรือ เพราะมีเงินฝากเกิน 500000 บาท,https://pantip.com/topic/40501774,165,69,2021-02-06T11:55:00.000000+0642
327,39830315,ขอวิธีทำใจเวลาแฟนใช้เงินไม่คิด?,https://pantip.com/topic/39830315,150,6,2020-04-22T15:32:00.000000+0642
328,40488347,"มาร่วมเเชร์แผนเกษียณของคนเงินเดือน ประมาณ 30,000 กันหน่อยค่ะ",https://pantip.com/topic/40488347,74,5,2021-01-31T14:03:00.000000+0642
329,40493888,ทำไมถูกหวยรางวัลที่1 แล้วต้องลาออกงานครับ,https://pantip.com/topic/40493888,148,4,2021-02-02T21:07:00.000000+0642
330,40489356,เหตุผลในการลาออกจากงานของคุณคืออะไร,https://pantip.com/topic/40489356,105,5,2021-01-31T21:54:00.000000+0642
331,35830805,คนวัยทำงาน มาแชร์ประสบการณ์การเลือกคณะ ชีวิตระหว่างเรียน และสิ่งที่เจอหลังเรียนจบกันนะคะ,https://pantip.com/topic/35830805,71,12,2016-11-20T21:00:00.000000+0642
332,40135771,คนที่ลาออกจากงานเอง แต่ยังไม่ได้งานใหม่,https://pantip.com/topic/40135771,72,1,2020-08-17T15:55:00.000000+0642
333,33194966,ชีวิต ตอนนี้ ไม่เหลืออะไร อาศัยวัด จะเริ่มต้นใหม่หมด ถือว่าแย่ไหม,https://pantip.com/topic/33194966,51,89,2015-02-04T12:54:00.000000+0642
334,40475873,"เงินเดือน 10,000 ~ 11,000 อยู่ กทม. กินใช้อย่างไรให้มีเงินเหลือคะ",https://pantip.com/topic/40475873,93,0,2021-01-26T01:04:00.000000+0642
335,40439696,เพื่อนๆ คิดว่า อายุ24 ทำเอกชนก่อนหรือรัฐวิสาหกิจดีครับ ในเมื่อโอกาสมาพร้อมกัน,https://pantip.com/topic/40439696,68,1,2021-01-10T10:12:00.000000+0642
336,40231878,พรุ่งนี้จะไปลาออกจากงานเงินเดือน 45000 มาเป็นฟรีแล้นซ์เงินเดือน 19000 ค่ะ,https://pantip.com/topic/40231878,110,57,2020-10-01T00:44:00.000000+0642
337,40109038,ออมเงินกี่ % ของรายได้กันคะ,https://pantip.com/topic/40109038,123,0,2020-08-05T12:38:00.000000+0642
338,40201949,ฝ่าย HR ที่ต้องรู้เงินเดือนของพนักงานทั้งบริษัท จะมีวิธีจัดการกับความรู้สึกในใจตัวเองยังไงคะ?,https://pantip.com/topic/40201949,94,0,2020-09-16T19:56:00.000000+0642
339,40463096,อาชีพไกด์ นักบิน ลูกเรือ โรงแรม ตอนนี้ไปทำงานอะไรกันครับ,https://pantip.com/topic/40463096,57,1,2021-01-20T17:28:00.000000+0642
340,40426896,โดนที่ทำงาน สั่งกักตัว14วัน ไม่ได้รับค่าจ้าง ทั้งๆที่ไม่ได้มาจากพื้นที่เสี่ยง,https://pantip.com/topic/40426896,65,0,2021-01-04T15:41:00.000000+0642
341,40438425,ช่วงโควิด มีใครเปลี่ยนวิกฤตเป็นโอกาสได้บ้างคะ,https://pantip.com/topic/40438425,58,4,2021-01-09T16:37:00.000000+0642
342,40436804,โดนลดเงินเดือน จ่ายค่าเช่าคอนโดต่อไม่ไหว ทำไงดี,https://pantip.com/topic/40436804,100,0,2021-01-08T20:09:00.000000+0642
343,40447834,ได้งานใหม่ แต่งานทำวันเสาร์ด้วย ...เหมือนเริ่มต้นใหม่,https://pantip.com/topic/40447834,68,0,2021-01-13T23:22:00.000000+0642
344,40447627,เคยเป็นไหม? มีเงินเก็บ แต่ไม่กล้าใช้,https://pantip.com/topic/40447627,87,0,2021-01-13T21:35:00.000000+0642
345,40444731,ทำงานมาไม่มีเงินเก็บเลย อยากมีเงินเก็บทำยังไงดีคะ?,https://pantip.com/topic/40444731,63,0,2021-01-12T15:53:00.000000+0642
